name1,name2,accurate,callees_json_bin_total,callees_json_matched,callees_json_non_matched,callees_json_src_total,calls,conditions,constants_json_bin_total,constants_json_matched,constants_json_non_matched,constants_json_src_total,externals,globals,heuristic,loops,recursive,switchs,switchs_json
http_should_fail,_curl_easy_getinfo_err_curl_socket_29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,1
stress_thread_5,isNumber,0,1,0,3,2,1,12,0,0,1,1,1,0,0,3,1,0,1
Curl_basename,_curl_easy_setopt_err_sockopt_cb_24,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1
ftp_state_pwd,MD4_Update,0,0,0,2,2,2,1,0,0,2,2,2,0,0,0,0,0,1
tool_setopt_bitmask,_curl_easy_setopt_err_ssl_ctx_cb_69,0,0,0,4,4,4,9,0,0,7,7,7,0,0,3,0,0,1
sqlite3BtreeCursorIsValidNN,pthread_mutexattr_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
readPosition,toggleSelectOrder,0,7,0,8,1,6,3,2,0,2,0,2,0,0,0,1,0,1
test_bind_parameter_count,fts3SegReaderSetEof,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1
sqlite3PagerSetPagesize,btreePrevious,0,5,0,12,7,2,3,0,0,0,0,0,0,0,1,1,0,1
nodeHashLookup,apndSectorSize,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
lsm1Rowid,strcmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fts5NodeCompare,sqlite3HashInsert,0,7,0,8,1,6,21,1,0,1,0,8,0,0,2,1,0,1
state,_curl_easy_getinfo_err_curl_certinfo_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fts5PutVarint64,pagerWriteLargeSector,0,5,0,5,0,5,16,0,0,0,0,1,0,0,1,1,0,1
addToSavepointBitvecs,.pthread_mutex_trylock,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1
test_thread_cleanup,whereClauseInsert,0,5,0,6,1,4,16,1,0,1,0,1,0,0,2,1,0,1
rbuObjIterNext,sqlite3CodeVerifySchema,0,1,0,10,9,8,7,0,0,4,4,4,0,0,0,1,0,1
sortedDbKeyCompare,apndShmUnmap,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,1
vstatOpen,statResetCsr,0,3,0,4,1,2,6,0,0,0,0,0,1,0,1,1,0,1
sumFinalize,sqlite3_bind_double,0,2,0,6,4,2,0,0,0,1,1,2,0,0,0,1,0,1
fts5WriteBtreeTerm,sqlite3VtabOverloadFunction,0,2,0,4,2,0,12,0,0,0,0,1,0,0,1,1,0,1
sqlite3_sqlar_init,simpleDestroy,0,1,0,2,1,0,1,0,0,2,2,2,1,0,0,0,0,1
memDelete,fts3CursorSeekStmt,0,3,0,3,0,3,3,1,0,1,0,1,0,0,0,1,0,1
curl_mime_filedata,_curl_easy_setopt_err_curl_slist_52,0,0,0,5,5,5,9,0,0,0,0,0,0,0,0,0,0,1
Curl_ipv6_scope,Curl_sasl_cleanup,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
curl_multi_strerror,_curl_easy_setopt_err_curl_off_t_25,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,1,0
sqlite3_quota_fread,sqlite3_overload_function,0,3,0,4,1,2,4,0,0,0,0,5,0,0,0,1,0,1
file_makename,geomCallback,0,6,0,13,7,1,2,1,0,3,2,1,0,0,1,1,0,1
smtp_perform_ehlo,_curl_easy_setopt_err_postfields_106,0,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,1
apndUnlock,sqlite3InsertBuiltinFuncs,0,1,0,2,1,0,9,1,0,1,0,3,0,0,1,1,0,1
Curl_getaddrinfo,_curl_easy_setopt_err_seek_cb_83,0,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,1
Sqlitetestasync_Init,fts3PoslistCopy,0,1,0,1,0,1,3,0,0,0,0,0,0,0,1,1,0,1
vdbePmaWriteVarint,.dlerror,0,0,0,2,2,2,0,0,0,0,0,1,1,0,0,0,0,1
robust_open,fts3tokFilterMethod,0,6,0,9,3,3,6,0,0,2,2,2,1,0,1,1,0,1
rbuBadControlError,sqlite3Prepare16,0,7,0,8,1,6,24,4,0,5,1,6,0,0,3,1,0,1
register_echo_module,sqlite3ExprCanBeNull,0,0,0,2,2,2,7,0,0,2,2,2,2,0,1,1,0,1
lsmFsMetaPageData,fts3tokOpenMethod,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
pop3_get_message,_curl_easy_getinfo_err_double_116,0,0,0,1,1,1,6,0,0,0,0,0,0,0,2,0,0,1
parse_filename,_curl_easy_getinfo_err_curl_off_t_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
homedir,_curl_easy_getinfo_err_double_19,0,0,0,1,1,1,2,0,0,2,2,2,0,0,0,0,0,1
jrnlBufferSize,codeAttach,0,8,0,8,0,8,22,0,0,0,0,1,0,0,0,1,0,1
pop3_do,_curl_easy_setopt_err_resolver_start_callback_2,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,1
testnext,internshrstr,0,4,0,5,1,3,8,0,0,0,0,0,0,0,2,1,0,1
isDelim,sqlite3_create_module_v2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
sendsuboption,_curl_easy_setopt_err_postfields_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sqlite3EndTable,renameParentFunc,0,8,1,36,30,22,9,3,0,16,13,10,0,0,0,1,0,1
vfstraceFileSize,groupConcatStep,0,4,0,4,0,4,7,0,0,0,0,2,0,0,0,1,0,1
Curl_md5it,pop3_statemach_act,0,14,0,19,5,9,9,0,0,0,0,1,0,0,1,1,1,0
curlx_sltous,_curl_easy_getinfo_err_curl_slist_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
pcache1UnderMemoryPressure,shellFkeyCollateClause,0,8,0,9,1,7,2,2,0,2,0,3,1,0,0,1,0,1
Curl_getaddrinfo,_curl_easy_setopt_err_seek_cb_18,0,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,1
sqlite3InRhsIsConstant,nolockIoFinderImpl,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
sqlite3PcacheClear,fsdirResetCursor,0,2,0,3,1,1,3,0,0,0,0,0,0,0,1,1,0,1
sqliteCmdUsage,fputs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ofstWalkPage,dupedExprSize,0,1,0,6,5,4,1,0,0,1,1,1,0,0,1,1,0,1
Curl_isunreserved,_curl_easy_getinfo_err_long_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
testThreadSupport,output_html_string,0,2,0,2,0,2,13,7,0,7,0,7,0,0,1,1,0,1
vfstraceShmBarrier,setPragmaResultColumnNames,0,2,0,4,2,0,5,0,0,1,1,0,0,0,1,1,0,1
ftp_state_size,_curl_easy_setopt_err_progress_cb_91,0,0,0,3,3,3,3,0,0,1,1,1,0,0,0,0,0,1
lsmMalloc,corruptSchema,0,3,0,4,1,2,6,6,0,6,0,5,0,0,0,1,0,1
tmpDeviceCharacteristics,randomFunc,0,3,0,3,0,3,4,0,0,0,0,0,0,0,0,1,0,1
zipfileReadLFH,sqlite3FindIndex,0,1,0,3,2,1,8,0,0,0,0,1,0,0,1,1,0,1
curl_msnprintf,_curl_easy_setopt_err_CURLSH_71,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1
stdin_read,.strtok_r,0,0,0,2,2,2,3,0,0,0,0,1,1,0,0,0,0,1
Curl_splayremovebyaddr,Curl_ratelimit,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,1,0,1
unionBestIndex,.pthread_mutex_unlock,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,1,0
memCheckReservedLock,sqlite3_collation_needed,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,1
auth_digest_get_key_value,smtp_continue_auth,0,1,0,3,2,1,1,1,0,1,0,1,0,0,1,0,0,1
tmpRead,unicodeCreate,0,5,0,5,0,5,11,4,0,4,0,4,0,0,1,1,0,1
fts5FindRankFunction,sqlite3_total_changes,0,0,0,10,10,10,7,0,0,2,2,2,0,0,1,0,0,1
easysrc_addf,_curl_easy_getinfo_err_curl_tlssesssioninfo_62,0,0,0,5,5,5,1,0,0,0,0,0,0,0,0,0,0,1
treeInsertEntry,sqlite3_extended_errcode,0,2,0,14,12,10,21,7,0,7,0,2,0,0,0,1,0,1
lsmTreeSize,apndNextSystemCall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ftp_state_quote,_curl_easy_setopt_err_curl_slist_15,0,0,0,6,6,6,11,0,0,3,3,3,0,0,1,0,2,0
sqlite3_multiplex_initialize,exprINAffinity,0,4,0,7,3,1,8,0,0,27,27,14,1,0,1,1,0,1
Curl_pgrsStartNow,_curl_easy_getinfo_err_curl_certinfo_72,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1
rtsp_disconnect,_curl_easy_setopt_err_sockopt_cb_130,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
vfstraceAccess,sqlite3VListNameToNum,0,1,0,1,0,1,4,0,0,0,0,0,0,0,1,1,0,1
unixShmRegionPerMap,fts3GetDeltaVarint3,0,2,0,3,1,1,2,0,0,0,0,0,0,0,0,1,0,1
cidxOpen,fts3StringAppend,0,3,0,4,1,2,3,0,0,0,0,0,0,0,0,1,0,1
Curl_set_dns_interface,_curl_easy_getinfo_err_curl_certinfo_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
minMaxQuery,sqlite3CheckObjectName,0,2,0,4,2,0,1,2,0,4,2,0,0,0,0,1,0,1
mime_subparts_seek,parse_proxy_auth,0,3,0,5,2,1,1,0,0,0,0,0,0,0,1,1,0,1
columnNullValue,pagerAddPageToRollbackJournal,0,3,0,3,0,3,8,0,0,0,0,0,0,0,1,1,0,1
fts5IterSetOutputs_None,shellPutsFunc,0,4,0,4,0,4,0,1,0,1,0,1,0,0,0,0,0,1
addNewAsyncWrite,sqlite3ErrorFinish,0,2,0,5,3,1,0,0,0,0,0,0,0,0,0,1,0,1
pop3_state_pass_resp,.init_proc,0,1,0,3,2,1,0,0,0,1,1,0,0,0,0,1,0,1
seriesBestIndex,contextMalloc,0,3,0,3,0,3,6,1,0,1,0,1,0,0,1,1,1,0
stmtBestIndex,fts3ExprTermOffsetInit,0,3,0,3,0,3,4,0,0,0,0,0,0,0,1,1,0,1
unionInvokeOpenClose,sqlite3ExprCollSeq,0,2,0,8,6,4,23,0,0,1,1,1,1,0,1,1,0,1
Curl_hash_delete,_curl_easy_setopt_err_progress_cb_21,0,0,0,3,3,3,1,0,0,0,0,0,0,0,1,0,0,1
singlesocket,_curl_easy_setopt_err_FILE_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
testFunc,sqlite3PcacheFetchFinish,0,1,0,13,12,11,6,0,0,8,8,8,0,0,1,1,0,1
telnet_do,_curl_easy_getinfo_err_curl_tlssesssioninfo_41,0,0,0,17,17,17,20,0,0,1,1,1,0,0,1,0,1,0
vlogCurrentTimeInt64,zeroPage,0,2,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,1
inmemRead,rtreeCheckNode,0,11,0,13,2,9,30,7,0,7,0,7,0,0,1,1,0,1
test_interrupt,sqlite3_extended_errcode,0,2,0,3,1,1,4,7,0,7,0,2,0,0,0,1,0,1
walPagesize,sqlite3_result_double,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1
str2offset,_curl_easy_setopt_err_curl_mimepost_26,0,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,1
Curl_pipeline_wanted,qp_lookahead_eol,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,1
Curl_connect_free,_curl_easy_getinfo_err_curl_tlssesssioninfo_37,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
tool_go_sleep,_curl_easy_setopt_err_ioctl_cb_41,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
dict_do,ftp_do,0,3,0,3,0,3,5,0,0,0,0,0,0,0,0,1,0,1
adjust_varargs,math_exp,0,3,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,1
call_extract_if_dead,_curl_easy_setopt_err_FILE_28,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
sqlite3GetFuncCollSeq,sqlite3_errcode,0,2,0,2,0,2,5,7,0,7,0,2,0,0,0,1,0,1
Curl_multi_closed,_curl_easy_setopt_err_read_cb_13,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1
ftp_domore_getsock,_curl_easy_setopt_err_curl_off_t_130,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1
sqlite3BtreeCommitPhaseOne,pcache1Unpin,0,1,0,6,5,4,2,0,0,0,0,0,0,0,0,1,0,1
fuzzerClearCursor,sqlite3InitCallback,0,9,0,11,2,7,15,2,0,2,0,2,0,0,1,1,0,1
encoder_base64_size,_curl_easy_setopt_err_conv_cb_115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sqlite3ExprIsInteger,pageReinit,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Curl_sasl_can_authenticate,_curl_easy_setopt_err_write_callback_53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Curl_build_unencoding_stack,_curl_easy_setopt_err_sockopt_cb_43,0,0,0,5,5,5,9,0,0,1,1,1,1,0,3,0,0,1
multiplexAccess,.inflate,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
lsmFsFileid,jsonGrow,0,5,0,8,3,2,3,0,0,0,0,0,0,0,0,1,0,1
fstreeBestIndex,sqlite3ExprWalkNoop,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1
snippetOffsetsOfColumn,fts3AppendToNode,0,3,0,8,5,2,0,0,0,0,0,0,0,0,1,1,0,1
tftp_doing,.SSL_get_peer_cert_chain,0,0,0,4,4,4,3,0,0,0,0,1,1,0,1,0,0,1
fts5CursorRowid,jsonTypeFunc,0,6,0,7,1,5,3,0,0,0,0,2,0,0,0,1,0,1
lua_settop,fopen64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
cleanup_encoder_state,_curl_easy_setopt_err_string_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
segmentPtrReset,sqlite3_bind_zeroblob64,0,2,0,4,2,0,4,0,0,0,0,5,0,0,0,1,0,1
treeHeaderChecksumOk,sqlite3BtreeMovetoUnpacked,0,10,0,12,2,8,45,6,0,6,0,2,0,0,1,1,0,1
imap_get_message,_curl_easy_getinfo_err_curl_certinfo_52,0,0,0,1,1,1,6,0,0,0,0,0,0,0,2,0,0,1
lsmFsOpenLog,setvbuf,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1
smtp_doing,_curl_easy_getinfo_err_string_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sqliteProcessJoin,sqlite3SchemaClear,0,4,0,10,6,2,4,0,0,6,6,3,0,0,1,1,0,1
stdin_free,_curl_easy_setopt_err_curl_mimepost_38,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
ftp_statemach_act,_curl_easy_getinfo_err_curl_tlssesssioninfo_53,0,0,0,24,24,24,55,0,0,20,20,20,0,0,11,0,2,0
param2text,_curl_easy_setopt_err_progress_cb_38,0,0,0,0,0,0,0,0,0,13,13,13,0,0,0,0,1,0
insertBinaryOperator,sqlite3PagerSetJournalMode,0,3,0,4,1,2,21,0,0,0,0,0,0,0,1,1,0,1
slist_size,_curl_easy_getinfo_err_curl_off_t,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1
tcl_thread_db_put,fts3tokEofMethod,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1
statMain,rtreeUpdate,0,14,1,27,15,1,19,0,0,24,24,18,0,0,1,1,0,1
seriesNext,minMaxFinalize,0,3,0,3,0,3,4,0,0,0,0,0,0,0,0,1,0,1
curlx_sotouz,_curl_easy_getinfo_err_curl_certinfo_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
tftp_connect,_curl_easy_getinfo_err_curl_off_t_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
demoDlClose,sqlite3_initialize,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,1
rbuStep,.compress,0,0,0,8,8,8,15,0,0,0,0,1,1,0,1,0,0,1
Md5_Init,btreeInitPage,0,2,0,2,0,2,18,4,0,4,0,2,0,0,2,1,0,1
pop3_perform,_curl_easy_setopt_err_sockopt_cb_24,0,0,0,2,2,2,3,0,0,0,0,0,0,0,2,0,0,1
fts3EvalNext,vdbeReleaseAndSetInt64,0,1,0,4,3,2,6,0,0,0,0,0,0,0,1,1,0,1
findBtree,rtreeCheckCount,0,5,0,11,6,1,1,2,0,4,2,0,0,0,0,1,0,1
isVowel,btreeParseCellAdjustSizeForOverflow,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1
glob_cleanup,.SSL_CTX_use_PrivateKey,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
sqlite3_eval_init,posixOpen,0,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,1
lsmBlockFree,btreeMoveto,0,5,0,6,1,4,3,3,0,3,0,2,0,0,0,1,0,1
seriesDisconnect,sqlite3_reset_auto_extension,0,2,0,3,1,1,4,0,0,0,0,15,0,0,0,1,0,1
sqlite3MPrintf,sqlite3ExprIfTrue,0,12,0,15,3,9,29,0,0,0,0,0,0,0,0,1,0,1
memFileSize,eqp_reset,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,1
sqlexec,apndAccess,0,0,0,6,6,6,1,0,0,1,1,1,0,0,0,0,0,1
fts3DeleteByRowid,sqlite3BtreeInsert,0,21,0,26,5,16,54,5,0,5,0,8,0,0,1,1,0,1
showSchema,cdateFunc,0,1,0,7,6,5,0,0,0,16,16,16,0,0,5,0,1,0
speedtest1_shrink_memory,sqlite3ExprIfFalseDup,0,3,0,4,1,2,3,0,0,0,0,0,0,0,0,1,0,1
multiplexDlSym,statConnect,0,6,0,7,1,5,6,2,0,2,0,4,1,0,0,1,0,1
pop3_state_apop_resp,_curl_easy_getinfo_err_curl_certinfo_21,0,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,1
pagerFreeMapHdrs,sqlite3ExprCollSeqMatch,0,1,0,2,1,0,5,0,0,0,0,1,0,0,0,1,0,1
sqlite3LogEstAdd,zipfileGetMode,0,5,0,5,0,5,6,3,0,3,0,2,0,0,1,1,0,1
lsmTreeCursorDestroy,analyzeDatabase,0,4,0,6,2,2,1,0,0,0,0,0,0,0,1,1,0,1
fts3DeclareVtab,sqlite3VdbeTransferError,0,3,0,7,4,1,4,0,0,4,4,0,1,0,1,1,0,1
getName,noopMutexLeave,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
sqliteErrorFromPosixError,sqlite3_fileio_init,0,2,0,2,0,2,3,4,0,4,0,5,0,0,0,1,1,0
math_toint,io_type,0,4,2,4,4,0,1,3,0,3,0,3,0,0,0,1,0,1
fts3UpdateMethod,puts,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
sanitize_cookie_path,_curl_easy_setopt_err_debug_cb_24,0,0,0,4,4,4,7,0,0,1,1,1,0,0,0,0,0,1
pragmaVtabColumn,.__fxstat64,0,0,0,3,3,3,1,0,0,0,0,1,1,0,0,0,0,1
Plink_add,.exit,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
wc_data_dtor,curl_multi_setopt,0,3,0,5,2,1,36,0,0,0,0,1,0,0,0,1,0,1
smtp_getsock,file_or_stdin,0,12,0,12,0,12,14,0,0,0,0,2,0,0,0,1,0,1
vdbeSorterRecordFree,arExecSql,0,4,0,5,1,3,3,2,0,2,0,3,0,0,1,1,0,1
findOption,sqlite3WalEndReadTransaction,0,2,0,3,1,1,0,0,0,0,0,0,1,0,3,1,0,1
resetAccumulator,sqlite3MallocSize,0,0,0,4,4,4,4,0,0,2,2,1,1,0,1,0,0,1
getparameter,urlchar_needs_escaping,0,3,0,49,46,43,417,0,0,38,38,38,1,0,97,1,12,0
smtp_perform_command,_curl_easy_setopt_err_debug_cb_10,0,0,0,2,2,2,2,0,0,4,4,4,0,0,0,0,0,1
nodeHashLookup,execSqlF,0,4,0,5,1,3,3,0,0,0,0,0,0,0,1,1,0,1
ftp_setup_connection,_curl_easy_setopt_err_curl_mimepost_26,0,0,0,4,4,4,5,0,0,1,1,1,0,0,0,0,1,0
Curl_llist_count,_curl_easy_setopt_err_curl_httpost_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sqlite3HashFind,unicodeCreate,0,5,0,6,1,4,11,4,0,4,0,4,0,0,1,1,0,1
sqlite3OomFault,walIndexReadHdr,0,15,0,15,0,15,49,7,0,7,0,3,0,0,1,1,0,1
leavesReaderReset,.gettimeofday,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
clang_sanitize_address,dotlockIoFinderImpl,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,1
sqlite3_column_decltype16,sqlite3_column_type,0,2,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1
tclLoadStaticExtensionCmd,mkdir,0,0,0,3,3,3,6,0,0,18,18,18,0,0,2,0,0,1
sqlite3_quota_fclose,.pthread_mutex_unlock,0,0,0,7,7,7,3,0,0,0,0,1,0,0,0,0,0,1
unixTruncate,sqlite3_column_decltype16,0,1,0,5,4,3,3,0,0,1,1,1,0,0,0,0,0,1
vdbeSorterRowkey,sqlite3WalkSelect,0,2,0,2,0,2,20,0,0,0,0,0,0,0,1,1,0,1
curl_multi_add_handle,_curl_easy_setopt_err_progress_cb_58,0,0,0,6,6,6,13,0,0,0,0,0,0,0,0,0,0,1
tftp_translate_code,imap_statemach_act,0,17,0,17,0,17,9,0,0,0,0,1,0,0,1,1,0,0
sqlite3_expired,sqlite3ParseUri,0,7,0,7,0,7,69,12,0,12,0,15,0,0,4,1,0,1
sweeplist,lua_upvaluejoin,0,3,0,3,0,3,4,0,0,0,0,0,0,0,0,1,0,1
tool_read_cb,.SSLv23_client_method,0,0,0,2,2,2,2,0,0,0,0,1,1,0,0,0,0,1
mergeWorkerBtreeWrite,fts3BinCompare,0,1,0,15,14,13,8,0,0,0,0,1,1,0,1,1,0,1
segmentPtrEndPage,unicodeFunc,0,4,0,7,3,1,2,0,0,0,0,0,0,0,0,1,0,1
sortedBlobGrow,sqlite3_load_extension,0,11,0,12,1,10,37,10,0,10,0,16,0,0,2,1,0,1
imap_done,_curl_easy_getinfo_err_curl_certinfo_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
run_schema_dump_query,sqlite3_mutex_free,0,0,0,6,6,6,0,0,0,1,1,2,0,0,0,1,0,1
Curl_protocol_connecting,_curl_easy_getinfo_err_long_58,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1
MD5Final,exprNodeIsDeterministic,0,0,0,4,4,4,0,1,0,1,0,0,0,0,0,1,0,1
Curl_conncache_find_bundle,_curl_easy_setopt_err_postfields_33,0,0,0,4,4,4,2,0,0,0,0,0,0,0,0,0,0,1
tftp_rx,_curl_easy_setopt_err_write_callback_116,0,0,0,8,8,8,7,0,0,5,5,5,0,0,0,0,1,0
encoder_nop_size,Curl_cookie_add,0,23,0,23,0,23,132,16,0,16,0,25,0,0,5,1,1,0
parse_remote_port,_curl_easy_setopt_err_ssl_ctx_cb_79,0,0,0,8,8,8,18,0,0,10,10,10,0,0,1,0,0,1
parse_connect_to_string,main_checkfds,0,3,0,10,7,4,1,0,0,4,4,4,0,0,1,1,0,1
sqlite3_carray_init,fts3SegReaderStart,0,4,0,5,1,3,9,0,0,1,1,1,1,0,1,1,0,1
codeRowTrigger,unixCurrentTimeInt64,0,2,0,21,19,17,10,2,0,3,1,1,0,0,0,1,0,1
findpcall,.fflush,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
lsmMutexNew,fsdirDisconnect,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
addbyter,_curl_easy_setopt_err_CURLSH_59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
multi_do_more,_curl_easy_setopt_err_long_34,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1
asyncLock,walMerge,0,1,0,4,3,2,7,0,0,0,0,1,1,0,0,1,0,1
Rule_merge,jsonLookupStep,0,3,0,3,0,3,39,0,0,0,0,1,0,0,0,1,0,1
Configlist_sortbasis,dupedExprSize,0,1,0,1,0,1,3,0,0,0,0,0,0,0,1,1,0,1
rtreeCheckAppendMsg,zipfileFunctionCds,0,6,0,10,4,2,0,1,0,4,3,2,0,0,1,1,0,1
Curl_auth_decode_digest_http_message,_curl_easy_setopt_err_curl_mimepost_30,0,0,0,7,7,7,32,0,0,17,17,17,0,0,4,0,0,1
curl_global_cleanup,_curl_easy_setopt_err_curl_mimepost_58,0,0,0,2,2,2,3,0,0,0,0,0,0,0,3,0,0,1
